タイトル;登録者;登録日時;作成キャンバスのコンテンツ
□ttc0001　そうだ　ブログ　書こう;倉川 清志;19/06/2014 10:00;"

公開日：2014/06/19


 
 
 
本部通信ほどオフィシャルでなく、ＰＬＡＺＡほどマニアックでもない
ましてやFacebookには到底かけない、常日頃考えている想いを
書きたいと思います。
富士山の８合目以上のことを本部通信で書くとしたら
このブログはまだ登山とは言えない５合目あたりで、行こか戻ろかしている
内容になるかな、という感じです。
そのまま何もしないと樹海に飲み込まれ兼ねないので、前進するために。。
 
（敢えて言いますがニッカンでもシューカンでもありません。）
（連番の有効桁を4桁にするには勇気が必要だった・・）
（疑問、質問、提案などはコメントまたは直接かメールでください）
"
□ttc0002　JAPAN　BRAND;倉川 清志;20/06/2014 10:00;"

公開日：2014/06/30


 
 
 
ベトナムは企業誘致に熱心だ。
国の平均年齢が２８歳という若い国のベトナムは、どんな企業に来てもらいたいのか！？
もちろん、雇用を促進し国に技術を残してくれる企業にきてもらいたいと思っているが、とりわけ来て欲しい企業の１つに「専門学校」がある。
技術を短期間で教えて、手に職のある若者を輩出する専門学校に来て欲しいのだ。
しかし、ただ、それだけが来て欲しい理由では無い。
日本の専門学校に来てもらい、日本の文化を教えて欲しいのだ。
仕事時間中にしゃがまない、とか、勝手に帰らないとか。
日本では、そんなことは就業規則に書いていない。
しかし、そのようなことこそが品質や生産性を支えているのだと思う。
・千円札でおつりを返すとき、なにげに向きを合わせる
・陳列から落ちた商品をもとにもどすスーパーマーケット
・エレベーターで「開く」ボタンを押して最後に降りる
・席から立ったら、椅子を戻す。
・次の人のために、ドアをささえる。
この数秒にも満たないほどの、積み重ねが日本という国をささえている。
それが、JAPAN BRANDだと思う。
"
□ttc0003　新人成果発表会;倉川 清志;23/06/2014 10:00;"





公開日：2014/06/30
 
 
 
 
 
新人教育の成果発表会が金曜日（６／２０）にありました・
４月から２ヶ月半行なってきた集大成です。
C++言語を用いてプログラムの基礎を学び、Gtrueを作成することで
応用を学んできました。
一人ひとりの個性がでたプレゼンでした。
プレゼン後に配属（仮）も決まりました（発表をお楽しみに）。
発表が終わったからといって、まだ課題も残っています。
今週、金曜日がその課題を解決しての納品日です。
気を抜かずに最後までやりきりましょう！
新人も、講師陣も！
"
□ttc0004　１０周年、２０周年・・;倉川 清志;23/06/2014 10:00;"

公開日：2014/06/30


 
 
 
２０周年　新井毅君
１０周年　山崎秀雄君、菊池紀行君、富樫裕介君
おめでとうございます。
１０、２０年間という期間、一緒にｔｔｃにいてくれたこと
ありがとうございます。
いろいろなことがあったと思いますが、それらを乗り越え
今、ここに居るということ、おめでとうございます。
１０年一昔とはよく言われますが、確かに１０年たつと仕事や生活の環境が
一変していますね。
１０年前にはスマホはありませんでした。
２０年前、携帯電話ユーザーは周りにいませんでした。
（存在していたかもしれないが、私の周りにイノベーターはいなかった）
１０年の間には、結婚したり、子供ができたり、転居したり、
大事な人との出会いや別れがったり・・いろいろありますよね。
振り返って自分自身は？と問うと、どんな変化、成長があっただろう・・
これらも振り返る機会ですね。
１０年は長く、短い。
向かうべき目標と、一日一日の積み重ねが１０年後を形づくっている。
少年易老学難成
"
□ttc0005　守破離（しゅ・は・り）;倉川 清志;30/06/2014 10:00;"

公開日：2014/06/30


 
 
 
守破離（しゅ・は・り）という言葉をご存じですか？
お稽古をして成長していく段階というか、道を究めるための奥義というか・・ググってみてください。
歌舞伎の世界は、まさに守・破・離だろう。
弟子は師匠を徹底的に真似る。
真似て真似て、そして真似る。
個性とか独自性などまったくない。
そうして「型」をつくっていく。
そして、「型」ができ、その次の「破」がある。
自分の独自性を大いに発揮し、新たなことにチャレンジしていく。
「型」をもっているからこその【型やぶり】だ。
これを中途半端な「守」をやってきた人がやると【型なし】となる。
「破」は師匠という支えがあってこそ「破」ができる。
だから、安心して、思いっきり「破」を楽しめる。
そして、その次の領域が「離」である。
師匠も【個】として存在し、弟子も一人だちし【個】として存在する。
「守」をやるべきときには、徹底的に「守」を行なう。
それができる時って、とても贅沢なときだと思います。
"
□ttc0006　「いつまでに・・」;倉川 清志;1/07/2014 10:00;"

公開日：2014/07/01


 
 
 
作業依頼されたときの “期限”について考えてみよう、
■「いつまでに」・・
上長　　「これやっておいて」
メンバー「わかりました」
で終わってないですか？　作業依頼の会話が・・
この会話には、そうです！ ”期限” がないんです。
「期限を切ること／切られること」に、特別な意味をつけてませんか？
　・相手に悪い感じがする
　・特に期限をきめる必要無いし・・
　・プレッシャーを与えちゃう　etc
配属されたばかりの新人に仕事を依頼するとしよう
　「これやっておいて」
　「わかりました」
　新人は依頼されたから仕事を進める。「いつまでに」を気になりつつも・・
　依頼者はそろそろ終わったんじゃないかと思いつつ、声かけせずに打合せに。
　依頼者が打合せを終え戻ってくると、新人は帰っていた。
　まだ終わってないのに帰っちゃったの！？
こんなシチュエーションを繰り返してないだろうか？
単に「今日5時までに、これやっておいて」と言えばよかっただけなのに・・
「期限を設ける」は相手に対する”おもいやり”です。
こちらの欲する仕事をしてもらう為の重要な情報は相手に与えましょう。
別段急ぎでない仕事であっても、ちゃんと期限を設けてあげることは必要です。
そして、（特に）新人には、期限に終わらせる為にはどうしていくか
終わらなかったときにどうするかを
日々の仕事をとおして体得してもらいましょう。
"
□ttc0007　ファイル（Ｚ）の違和感;倉川 清志;4/07/2014 10:00;"

公開日：2014/07/01


 
 
 
 
新人教育の応用の課題「Gtrue」は数値地図（ARK形式）を読み込み
画面に表示し、拡大／縮小、移動をおこなうビューアー作成である。
その外部設計書の画面仕様のメニューバーにこうあった。
　
　　　　　ファイル（Z）
課題作成者の意図は不明だが、１つの解釈として
これも重要な新人研修と受けとめることができる。
外部設計書をもらった時には気づきにくいかもしれないが、
ここだけを抽出すれば、何に注目しているか！　分かりますよね？
Windowsアプリだったら・・・・、
そうです
　　　ファイル（F）なんですよ。
あなたならどうします？
①外部設計書どおりにつくる
②上長に(Z)の意図を聞く
何か違うぞっ・・って感覚、大事ですよね。
"
□ttc0008　Outputの薦め;倉川 清志;7/07/2014 10:00;"

公開日：2014/07/01


 
 
 
仕事で得たことをOutputする機会、ありますか？
グループやチームで日常的にそのような機会があったら素敵ですね。
仕事以外でも、本を読む、映画を見る、研修を受ける、何でもいい
Inputしたものは、（意図的に）”Output”しよう！
（Outputする意図で、Inputする癖を付けよう）←これ大事。
どんなにすばらしい知識を記憶（Input）していても、いざというときに使えなくては(Output）、持っていないのと同義です。
Outputとは、誰かに話す、メモっておく、まとめておく等々です
知識を持っていることを第３者に知らせるには、Outputするしかありません。
ため込んでいても、”自分が思っている自分” と ”他人から見える自分” とのギャップに挟まれ苦しむだけです。
　記憶力とは「覚える力」では無く、「思い出して話せる力」だ！
「話すことで記憶される」と言うことも出来ます。
覚えておいたことは整理されていません。
人に話すためには、要約が必要で、理解していなければ話せません。
そして、話したことを行動に移すことができれば、その知識は”身”についています、
知識を１００持っていても、使えない／使わないならゴミ屋敷だ。
"
□ttc0009　月例会201407　新人＆M4.T4;倉川 清志;13/07/2014 10:00;"

公開日：2014/07/01


 
 
 

 
 
 
 
月例会にて新人３人による新人研修の発表と新Ｍ４、Ｔ４昇格者による
抱負のプレゼンがあった。
新人の発表は実際の研修時に見ているが、今回はその時に参加者から
指摘されたものを修正していて、発表も堂々としていました。
やはり場数をふむことは大事ですね。
昇格者３名(M4:角口君、山川君、T4:馬場君）のプレゼンは、
さすがですね。（私には分からない表現も多々ありましたが・・）
掴みやすい表現の中にも、本当に言いたい本質を外さず、
とても頼もしく思いました。
本当に月例会、それも２部でしか聞けないプレゼンでした。（良い意味で）。
新人、M4、T4の皆さん、これから楽しみです。
ありがとう。
"
□ttc0010　ベネッセ事件から学ぶこと;倉川 清志;22/07/2014 10:00;"

公開日：2014/07/01


 
 
 
「ベネッセ事件」は”対岸の”火事無い”ではと広報した。
そして、このようなことが起こると
管理体制は！　ルールは！　という話になる。
もちろん、これも重要で、会社としては取り組まねばならないが
いくら管理体制やルールを厳しくしたり、システム化しても、
このような事件は決してなくなることはない。
セキュリティーとかプライバシーの強化は、”ここまでやったのだから・・”
という言い訳をするためのレベルを引き上げることでしかない。
どんなセキュリティーでも運用しているのは”人間”です。
声かけしている地域の犯罪率は低いといいます。
挨拶をする、ゴミを拾う、時間を守るなどの小さなことの積み重ねが
このような事件を未然に防ぐ。
そして、
”お天道様が見ている”と教わった私たちの文化を大切にしていきたい。
"
